Date,HE,RT Demand
1/21/2020,4,13187.77
1/21/2020,5,13560.92
1/21/2020,6,14444.03
1/21/2020,7,16209.54
1/21/2020,8,17172.41
1/21/2020,9,16868.05
1/21/2020,10,16188.4
1/21/2020,11,15636.38
1/21/2020,12,15289.92
1/21/2020,13,15119.79
1/21/2020,14,15299.96
1/21/2020,15,15517.88
1/21/2020,16,15917.51
1/21/2020,17,16734.74
1/21/2020,18,17827.6
1/21/2020,19,17895.77
1/21/2020,20,17606.63
1/21/2020,21,17013.34
1/21/2020,22,16080.61
1/21/2020,23,14875.45
1/21/2020,24,13868.7
1/22/2020,1,13271.31
1/22/2020,2,12984.06
1/22/2020,3,12869.91
1/22/2020,4,12946.28
1/22/2020,5,13343.54
1/22/2020,6,14398.8
1/22/2020,7,16159.28
1/22/2020,8,17078.3
1/22/2020,9,16710.04
1/22/2020,10,15869.13
1/22/2020,11,15418.78
1/22/2020,12,14890.44
1/22/2020,13,14480.65
1/22/2020,14,14399.2
1/22/2020,15,14585.05
1/22/2020,16,14950.46
1/22/2020,17,15903.28
1/22/2020,18,17137.41
1/22/2020,19,17232.05
1/22/2020,20,16868.63
1/22/2020,21,16274.52
1/22/2020,22,15358.36
1/22/2020,23,14185.14
1/22/2020,24,13451.02
1/23/2020,1,12858.08
1/23/2020,2,12805.77
1/23/2020,3,12694.02
1/23/2020,4,12792.1
1/23/2020,5,12976.26
1/23/2020,6,13773.32
1/23/2020,7,15562.02
1/23/2020,8,16478.28
1/23/2020,9,16038.27
1/23/2020,10,15125.06
1/23/2020,11,14454.71
1/23/2020,12,14294.2
1/23/2020,13,14156.06
1/23/2020,14,14203.42
1/23/2020,15,14457.54
1/23/2020,16,14729.95
1/23/2020,17,15588.41
1/23/2020,18,16623.02
1/23/2020,19,16589.4
1/23/2020,20,16213.07
1/23/2020,21,15593.11
1/23/2020,22,14678.75
1/23/2020,23,13491.44
1/23/2020,24,12515.03
1/24/2020,1,12052.82
1/24/2020,2,11815.48
1/24/2020,3,11660.06
1/24/2020,4,11703.49
1/24/2020,5,12093.92
1/24/2020,6,12816.67
1/24/2020,7,14535.72
1/24/2020,8,15504.8
1/24/2020,9,15158.73
1/24/2020,10,14326.46
1/24/2020,11,13677.59
1/24/2020,12,13293.16
1/24/2020,13,13397.76
1/24/2020,14,13622.5
1/24/2020,15,13665.86
1/24/2020,16,14216.64
1/24/2020,17,14890.56
1/24/2020,18,15604.7
1/24/2020,19,15492.85
1/24/2020,20,15092.81
1/24/2020,21,14576.81
1/24/2020,22,13899.77
1/24/2020,23,13211.85
1/24/2020,24,12345.13
1/25/2020,1,11660.99
1/25/2020,2,11238.92
1/25/2020,3,11094.92
1/25/2020,4,11202.04
1/25/2020,5,11055.7
1/25/2020,6,11427.17
1/25/2020,7,12089.29
1/25/2020,8,12652.6
1/25/2020,9,13303.98
1/25/2020,10,13848.66
1/25/2020,11,14089.54
1/25/2020,12,14167.99
1/25/2020,13,14201.7
1/25/2020,14,14145.23
1/25/2020,15,14123.95
1/25/2020,16,14245.04
1/25/2020,17,14700.05
1/25/2020,18,15176
1/25/2020,19,14886.23
1/25/2020,20,14343.04
1/25/2020,21,13767.07
1/25/2020,22,13065.23
1/25/2020,23,12216.44
1/25/2020,24,11845
1/26/2020,1,11182.17
1/26/2020,2,10609.67
1/26/2020,3,10654.49
1/26/2020,4,10804.14
1/26/2020,5,10663.91
1/26/2020,6,10936.96
1/26/2020,7,11203.72
1/26/2020,8,11550.26
1/26/2020,9,11924.78
1/26/2020,10,11773.44
1/26/2020,11,11565.94
1/26/2020,12,11784.69
1/26/2020,13,11926.6
1/26/2020,14,11987.48
1/26/2020,15,12364.01
1/26/2020,16,12926
1/26/2020,17,13877.04
1/26/2020,18,15022.67
1/26/2020,19,15072.32
1/26/2020,20,14656.38
1/26/2020,21,14041.96
1/26/2020,22,13195.16
1/26/2020,23,12268.69
1/26/2020,24,11823.79
1/27/2020,1,11154.39
1/27/2020,2,10999.67
1/27/2020,3,11137.44
1/27/2020,4,11120.99
1/27/2020,5,11130.8
1/27/2020,6,12171.91
1/27/2020,7,13798.42
1/27/2020,8,14581.07
1/27/2020,9,14484.96
1/27/2020,10,14333.48
1/27/2020,11,14048.2
1/27/2020,12,13716.47
1/27/2020,13,13557.88
1/27/2020,14,13712.29
1/27/2020,15,14002.74
1/27/2020,16,14444.03
1/27/2020,17,15148.82
1/27/2020,18,16096.91
1/27/2020,19,16014.08
1/27/2020,20,15526.56
1/27/2020,21,14816.52
